,content
1,Canhão de guerra. 
2,femi o que?
3,"Concordo plenamente Jaqueline!! Outro dia ouvi um relato de uma moça que se disse ""assediada sexualmente"" porque um cara passou por ele e mandou um ""oi gatinha""."
4,Feminista é uma mulher encalhada que precisa descontar sua raiva. 
5,pareceu um mal súbito!
8,"Pessoas, fala sério, desnecessário essa denúncia de assédio. Assédio? Onde? Ela pode até não ter gostado, mas aí dizer que foi assédio. Ele só elogiou e brincou. Muito diferente da situação do Biel"
10,"Acredito que o galanteio, as cantadas fazem parte da sedução do homem junto à mulher e pode ocorrer o contrário também e isso na minha modesta opinião não deveria ser reprimido. Estupro é outra coisa, é sexo sem sem consentimento é abuso de poder e isso deve ser reprimido, combatido e punido. Também existem algumas mulheres que cedem por interesse, deixando até transparecer estar interessada e depois que conseguem o que queriam decidem denunciar. Enfim, há 2 lados desta  historia e por isso manifesto das próprias mulheres nos dois sentidos."
11,Grande b... O que esta mulher representa para o Brasil? Nada!!!
13,Antigamente bastava a mulher dar um belo tapa na cara do sujeito abusado e pronto.. tudo resolvido.
15,Extraterrestres existem ? Feminazi bonitas existem? Oh dúvida cruel...
16,Depois se queixam q não existe mais homens. aff
17,Essa ai gosta de um Homão!
19,Quero saber é quando esse preconceito e ataques contra os homens irão acabar. Nojo.
20,Quero ver a igualdade de profissões na hora de rebocar uma parede. O feminismo acaba na hora que chega a conta do restaurante
31,no rj não gostam muito de mulher
32,Perfeito seu comentário. Pra toda ação existe uma reação.Na minha visão as feministas estão banalizando o direito da mulher e enfraquecendo a causa
33,"Afinal de contas, quando a cantada vira ""assédio""?  Eu não posso mais dizer para uma mulher que acho ela bonita e convidar ela para jantar?"
37,"Essas atrizes..tinham umas 40 para o mesmo papel no início de carreira, a maioria não quis dar para o diretor e hoje são anônimas...Essas rampeiras famosas que sentaram no colo de inúmeros diretores e ""jantaram"" com eles (foram jantadas, consensualmente) e agora vem ""denunciar"". Muitas o diretor mal insinuou e foram caíndo de boca...Covardes hipócritas!!!"
38,"Ficar pregando feminismo é fácil, quero ver é trocar o pneu de uma carreta."
39,"Ah, isso não 'é nada. Ficamos casados tres anos e a minha ex já deve ter dado para uns cinquenta. Voce  está perdendo feio..."
40,O instinto animal de cortejar a fêmea é da natureza do homem. Por isso deveria ser permitido ao homem se casar com quantas mulheres ele quisesse.
46,Vão querer cota tbm ???
49,"Chola mais, gado do presidiário."
50,"Que isso rapaz, não tem ninguem na terra doido o suficiente pra pegar ela, nem o maniaco do parque"
52,Pobre o povo que não entende uma ironia...rssss. 
53,Buá buá 
54,"elas são minoria porque querem, nenhum homem obriga elas a estudar administração ou outra area, eu estudo ADS e tem mulheres na minha sala, então vamos parar de mimimi pfv rede E S G O T O de televisão..."
55,"Geralmente feministas são feias, gordas e por isso não recebem cantadas. Agora quem que as mulheres bonitas também não recebam. Não passam de invejosas."
57,Não tem nada pra fazer essa atriz? Vai trabalhar! 
58,"Se o alistamento militar passar a ser obrigatório para mulheres, as feministas serão  as primeiras a reclamar."
59,Mulheres!!!!!
60,"Quem decide, é a justiça. Ele tem que pagar.Agora, não é uma goiabeira que vai dizer o que deve ser feito..."
62,FEIÚRA É APELIDO !
66,Ela deveria era mandar o macron calar a boca e cuidar dos franceses em vez de ficar afrontando a soberania dos outros. Se a falta de beleza dela ficou em evid%encia é graças a má postura desse tal marido que ela tem
74,Abaixo tem uma noticia que o marido (empresario) foi morto pela esposa.Sabe qual foi a pena ? Nenhuma...
75,"Ele errou sim, onde que ela é bonita ?"
76,O MUNDO TA CHATO
81,Toda feminista é mortadela filhote do Jean Willys com a Maria do Rosário.
82,"Tinham que ter citado na reportagem a entrevista em que ela senta no colo do ""Drogo"" kkkk, hipócrita."
86,"Mulheres cometem tantos crimes assim quanto homens. Não faz muitos dias uma mulher acelerou o seu automóvel contra o seu marido. Os casos são inúmeros, a única diferença é que quando uma mulher faz isso não tem juiz ou juíza para problematizar o caso."
87,"E quando é a mulher que assedia, que rouba o beijo, como fica? A gente pode ir na polícia e denunciar também?"
89,"Se a conta do salão foi pro marido pagar...e se nunca se arrumou pro cara e derrepente resolveu se arrumar...mas pra outro...ah bichão perdeu a cabeça, era melhor ter pego outra baranguda desarrumada do q fazer isso ...Na boa mulher bonita g..osto..sa e suculenta é = melancia grande 1 só naum come sozinho."
90,"Caracas, é feia mesmo. "
91,"Verdade seja dita!! mulher adora se envolver com homem tranqueira que não presta, principalmente quando são novinhas e gostosinhas.. homem direito sofre na mão delas."
92,feminazi
94,É natural dos homens NORMAIS eu acrescentaria. 
96,Quem agrediu primeiro????????????
97,"Era tão mais simples, macho e fêmea. Agora se inventam nomenclaturas e axiomas para defini-los e acabam se tornado verdades sem fundamento nem base científica."
98,"99 por cento da população é feia, então para que tanto falatório."
99,"Após apurada a verdade rapidamente, a pena deveria ser exemplar."
100,Sem peruca ela deve ficar linda...
102,Se chama de feia é ofendida  Se chama de bonita é assédio se chama de pretinhos é racismo se chama de gordinha não  sei mais o que essas mulheres de ofende por tudo a vai catar biquinho então. 
104,"Uma mulher lesbica feminista é uma coisa, uma mulher hetero feminista é outra coisa. A lesbica irá te odiar, rapaz! A hetero você terá de conquista-la, meu jovem."
105,"ela é feminista sim, é só olhar o Twiter, com aquele papinho de: ""todo homem é um estuprador em potencial''. Além disso, a entrevista que o Vin Diesel postou na íntegra não tem nada demais, inclusive ela brinca com ele antes do ocorrido, mostrando montagens!"
108,Isso tudo faz parte da evolução humana !
110,Acabar com o feminazismo no Brasil e revisar as leis vigentes que el.@..s conseguiram criar já resolveria a questão . Coisa que os políticos jamais farão porque desconhecem o que é o verdadeiro feminismo ou porque precisam de fama e do valoroso voto feminino .
111,ACHO MUITO ESTRANHO O FEMINISMO SER CONSIDERADO O MÁXIMO E O MACHISMO SER  UMA COISA RUIM
113,"Claro, imagina ela de topless, já estou pirando =D"
114,"AS BONITAS QUE ME PERDOEM, MAS PREFIRO AS FEIAS.É MAIS FÁCIL DE DESCOBRIR AS TRAIÇÕES. TÁ NA CARA!"
116,Quando os muçulmanos tomarem conta do Ocidente (graças à esquerda) aí talvez as feministas se ferrem!
118,"Toda pessoa de bom senso sabe a diferença entre assédio/agressão e cantada. O que as feministas desejam é exatamente apagar a linha que divide as duas coisas ou, no mínimo, transformá-la em algo MUITO vago."
119,Fotos com Photoshop!
120,vc tem xanna....pra opinar assim
121,"A questão é que às vezes a mulher quer se produzir pra ficar apenas mais bonita. Outras vezes, elas fazem isso pra chamar a atenção de outros machos, deixá-los ouriçados. Pintam o cabelo e se maquiam e depois botam um caleçon fio-dental e querem que os maridos aceitem isso! Menti?"
124,"A culpa não é da profissão que as mulheres se interessem por outras coisas, da para ver que homens ficam fascinados com máquinas de guerra e em comandar homens pra uma morte sem sentido mas mulheres ficam fascinadas com seu cabelo e unhas, reclama com a natureza por fazer elas assim, não com os marinheiros."
125,"Nada que um pote de conserva bem fechado, um pneu de carro furado, um naufrágio de Titanic ou um front de batalha não resolva."
127,a ideia dessa corja è trocar a filosofia cristã pelo neo ateismo de esquerda.camba de idiotas.
130,...exceto os falastrões destes comentários. Que também não tem avós.
131,"Ué...ativismo só agora? Por que ele não fez isso lá atrás, antes de pegar o primeiro papel da carreira dele? Depois que já ficou milionário fica fácil ficar com ""ativismos"". E tem trouxa que ainda acredita nessas coisas..."
134,"feia desse jeito, deveria é agradecer a Deus por alguem dizer algo de elogio, so ve nariz nessa horrorosa, e ainda fica com essa frescura toda."
135,O que uma pinga não faz..... 
138,São g.a.y.s q não se assumem ou impotentes (bro/chas)
141,Esta mulher está de parabéns.já estão confundindo galanteio com estupro.
146,"OBRIGADO ( Catherine Deneuve e outras 99 francesas pelo 'direito' dos homens de cantarem as mulheres ) , ENFIM UMA VERDADEIRA MULHER! SEM PARANÓIA!"
147,"Com essa cabeça oca aih deve ser gerente de uma ""empresa"" de plásticos de 1,99"
148,carinha de tra e ainda faz muito sucesso kk. brincadeirinha kk
152,Se for o Bon Jovi não é assédio.
154,"Ouvi dizer que se eu encostar a minha mão na mão de uma mulher na condução no momento que estou me segurando para não cair quando está cheio, já é considerado assédio secsual. Procede?"
155,O povo casa e querem vida de solteiro ai lasca tudo mesmo!
159,Deve ter nascido na última revolução francesa.
160,"na moral ela ta querendo se aparecer... e querendo se fazer de santa, tem posts dela rolando ai na net dela falando que queria passar vaselina em um lutador d mma... ah vá né.. se não curtiu corta na hr, mas pagar d santa"
163,"Esse é o tipo de gente que faz sucesso no Brasil: gente interesseira, mimizenta, que gosta de criar polêmicas para se aparecer, e hipócrita, porque essa daí sentou no colo Jason Mamoa numa entrevista e não falou nada."
165,é mesmo ? mas então só confirma o que eu penso 
166,"Em fim, uma mente sã em meio a toda essa bagunça."
167,"Parabens Catherine, essa cambada de gente sem sexo definido quer transformar uma relacao normal e sadia entre um homem e uma mulher em assedio. mal amados que nao conseguem encontrar um parceiro em cada esquina estao apelando ate p criancas. esses atrizes deram a perseguida para ficarem famosas e ricas e 300 anos depois vem reclamar."
168,Concordo piamente !! Não aceito agressão física nem verbal.. .E digo mais: mulher que não leva cantada deve ser muito triste !! Qual mulher não gosta ?? Se alguma falar q não... aí tem problemas !
169,"ACHO QUE SE DEVE TER RESPEITO, MAS SE UM HOMEM NÃO CANTAR UMA MULHER NINGUÉM PEGA NINGUÉM NESSE MUNDO! A HUMANIDADE VAI ACABAR!! QUEM JÁ FOI CANTADO POR UMA MULHER? VIVEMOS EM UM MUNDO MACHISTA QUE SÓ O HOMEM PODEM CHEGAR NAS MULHERES!! "
171,"A falta de beleza dela foi posta em evidência graças a ganância do marido dela, europeu mal caráter, roubou a esposa do outro agora quer roubar a amazônia "
172,tem o perfil da cracolandia tbm
174,"a corda, quero me enforcar depois de ler tanta estupidez que você escreveu..."
176,32 Heróis.
178,Ele é o estuprador? Voce prova? Cade seuas provas? Pq nao vai ajudar a policia e a justica então? Bandido.
179,E o teu boy??
180,"Um tapa na cara, dos pseudointelectuais do projac, diga não ao politicamente correto. "
184,Hj a inversão em tudo....homens fazendo amor com o bumbum...mulheres querendo ser Homem.....Fim dos tempos
186,Qualquer mulher que apoie o bozo merece ser estudada! Falta de autoestima tem limites...
187,"gostei, se você olhar na área de saúde esse numero muda grotescamente, se fazer medicina ou alguma área relacionada fosse mais barato a mulherada seria 70% a mais que os homens, chegue em uma sala de enfermagem."
